time,open,high,low,close,Volume
2022-09-26T17:00:00+03:30,3682.72,3700.24,3676.05,3699.8,NaN
2022-09-26T17:30:00+03:30,3698.92,3715.67,3689.06,3713.22,NaN
2022-09-26T18:00:00+03:30,3713.05,3713.27,3693.15,3700.1,NaN
2022-09-26T18:30:00+03:30,3699.69,3702.04,3674.23,3674.23,NaN
2022-09-26T19:00:00+03:30,3674.13,3685.03,3668.39,3682.57,NaN
2022-09-26T19:30:00+03:30,3682.67,3682.67,3659,3660.92,NaN
2022-09-26T20:00:00+03:30,3660.87,3672.61,3653.74,3669.93,NaN
2022-09-26T20:30:00+03:30,3669.96,3670.02,3644.76,3650.57,NaN
2022-09-26T21:00:00+03:30,3650.55,3660.71,3646.71,3647.22,NaN
2022-09-26T21:30:00+03:30,3647.29,3665.82,3646.55,3652.98,NaN
2022-09-26T22:00:00+03:30,3652.78,3673.39,3649.64,3669.27,NaN
2022-09-26T22:30:00+03:30,3669.41,3676.11,3662.94,3668.58,NaN
2022-09-26T23:00:00+03:30,3668.69,3682.48,3653.65,3656.13,NaN
2022-09-26T23:30:00+03:30,3655.92,3655.92,3655.04,3655.04,NaN
2022-09-27T17:00:00+03:30,3686.44,3717.53,3686.44,3698.28,NaN
2022-09-27T17:30:00+03:30,3698.34,3699.35,3673.55,3682.58,NaN
2022-09-27T18:00:00+03:30,3682.57,3703.08,3682.57,3697.59,NaN
2022-09-27T18:30:00+03:30,3697.19,3698.73,3662.84,3665.49,NaN
2022-09-27T19:00:00+03:30,3665.33,3672.24,3654.5,3654.66,NaN
2022-09-27T19:30:00+03:30,3654.58,3654.72,3626.16,3635.82,NaN
2022-09-27T20:00:00+03:30,3635.85,3644.04,3630.92,3641.76,NaN
2022-09-27T20:30:00+03:30,3641.45,3641.45,3628.96,3633.22,NaN
2022-09-27T21:00:00+03:30,3633.19,3637.21,3623.29,3630.47,NaN
2022-09-27T21:30:00+03:30,3630.8,3639.87,3627.99,3635.44,NaN
2022-09-27T22:00:00+03:30,3635.46,3659.21,3631.58,3654.16,NaN
2022-09-27T22:30:00+03:30,3654.14,3654.17,3642.11,3644.07,NaN
2022-09-27T23:00:00+03:30,3644.5,3653.95,3635.28,3648.49,NaN
2022-09-27T23:30:00+03:30,3647.89,3647.89,3647.29,3647.29,NaN
2022-09-28T17:00:00+03:30,3651.94,3662.2,3640.61,3657.22,NaN
2022-09-28T17:30:00+03:30,3656.83,3675.81,3646.01,3675.81,NaN
2022-09-28T18:00:00+03:30,3677.35,3688.22,3673.92,3679.51,NaN
2022-09-28T18:30:00+03:30,3679.36,3695.6,3676.4,3686.53,NaN
2022-09-28T19:00:00+03:30,3686.48,3697.9,3679.54,3697.13,NaN
2022-09-28T19:30:00+03:30,3697.16,3709.01,3695.99,3697.55,NaN
2022-09-28T20:00:00+03:30,3697.48,3706.58,3695.35,3702.17,NaN
2022-09-28T20:30:00+03:30,3702.45,3713.44,3698.49,3706.28,NaN
2022-09-28T21:00:00+03:30,3706.26,3708.35,3696.53,3700.84,NaN
2022-09-28T21:30:00+03:30,3700.89,3705.82,3697.87,3702.24,NaN
2022-09-28T22:00:00+03:30,3702.26,3711.42,3702.14,3708.79,NaN
2022-09-28T22:30:00+03:30,3708.68,3724.57,3707.82,3722.16,NaN
2022-09-28T23:00:00+03:30,3722.29,3736.74,3717.69,3717.69,NaN
2022-09-28T23:30:00+03:30,3718.28,3719.04,3718.28,3719.04,NaN
2022-09-29T17:00:00+03:30,3687.01,3687.01,3641.86,3645.28,NaN
2022-09-29T17:30:00+03:30,3645.1,3645.43,3619.69,3631.11,NaN
2022-09-29T18:00:00+03:30,3631.13,3643.14,3621.14,3638.85,NaN
2022-09-29T18:30:00+03:30,3638.82,3651.41,3634.58,3640.01,NaN
2022-09-29T19:00:00+03:30,3640.11,3659.07,3636.73,3653.72,NaN
2022-09-29T19:30:00+03:30,3653.49,3656.64,3638.14,3641.41,NaN
2022-09-29T20:00:00+03:30,3641.16,3646.86,3635.51,3636.22,NaN
2022-09-29T20:30:00+03:30,3636.24,3636.24,3628.23,3630.79,NaN
2022-09-29T21:00:00+03:30,3630.76,3636.93,3617.75,3617.94,NaN
2022-09-29T21:30:00+03:30,3617.99,3622.01,3610.4,3620.23,NaN
2022-09-29T22:00:00+03:30,3620.21,3628.07,3612.43,3612.44,NaN
2022-09-29T22:30:00+03:30,3612.26,3632.28,3612.26,3625.93,NaN
2022-09-29T23:00:00+03:30,3625.9,3645.25,3624.91,3641.71,NaN
2022-09-29T23:30:00+03:30,3641.5,3641.5,3640.47,3640.47,NaN
2022-09-30T17:00:00+03:30,3633.48,3648.92,3614.54,3643.29,NaN
2022-09-30T17:30:00+03:30,3643.49,3646.82,3629.3,3643.5,NaN
2022-09-30T18:00:00+03:30,3643.49,3658.12,3642.55,3653.94,NaN
2022-09-30T18:30:00+03:30,3654.1,3671.44,3649.92,3666.41,NaN
2022-09-30T19:00:00+03:30,3666.43,3668.81,3640.9,3642.73,NaN
2022-09-30T19:30:00+03:30,3642.65,3642.65,3631.53,3637.53,NaN
2022-09-30T20:00:00+03:30,3637.52,3646.36,3637.08,3639.91,NaN
2022-09-30T20:30:00+03:30,3639.81,3642.27,3633.78,3640,NaN
2022-09-30T21:00:00+03:30,3640.02,3641.47,3620.07,3622.69,NaN
2022-09-30T21:30:00+03:30,3622.77,3630.28,3616.91,3620.1,NaN
2022-09-30T22:00:00+03:30,3620.11,3624.8,3604.5,3606.21,NaN
2022-09-30T22:30:00+03:30,3606.13,3619.42,3601.95,3612.72,NaN
2022-09-30T23:00:00+03:30,3612.95,3619.05,3584.13,3589.7,NaN
2022-09-30T23:30:00+03:30,3587.17,3587.35,3585.62,3585.62,NaN
2022-10-03T17:00:00+03:30,3609.78,3628.17,3604.93,3618.36,NaN
2022-10-03T17:30:00+03:30,3618.81,3660.38,3618.81,3656.66,NaN
2022-10-03T18:00:00+03:30,3656.76,3662.49,3651.96,3656.67,NaN
2022-10-03T18:30:00+03:30,3656.63,3667.28,3654.34,3662.45,NaN
2022-10-03T19:00:00+03:30,3662.48,3664.73,3648,3650.88,NaN
2022-10-03T19:30:00+03:30,3650.86,3662.23,3649.8,3650.38,NaN
2022-10-03T20:00:00+03:30,3650.33,3655.61,3647.37,3655.6,NaN
2022-10-03T20:30:00+03:30,3655.59,3668.94,3655.09,3665.82,NaN
2022-10-03T21:00:00+03:30,3665.91,3674.41,3665.91,3669.72,NaN
2022-10-03T21:30:00+03:30,3669.69,3688.76,3669.69,3688.18,NaN
2022-10-03T22:00:00+03:30,3688.17,3698.35,3687,3694.64,NaN
2022-10-03T22:30:00+03:30,3694.61,3696.68,3686.12,3693.52,NaN
2022-10-03T23:00:00+03:30,3693.64,3695.91,3674.29,3677.82,NaN
2022-10-03T23:30:00+03:30,3678.46,3678.47,3678.35,3678.43,NaN
2022-10-04T17:00:00+03:30,3726.46,3772.89,3726.46,3772.82,NaN
2022-10-04T17:30:00+03:30,3772.97,3785.23,3772.97,3775.11,NaN
2022-10-04T18:00:00+03:30,3774.42,3786.61,3773.15,3785.64,NaN
2022-10-04T18:30:00+03:30,3785.61,3787.45,3778.4,3786.49,NaN
2022-10-04T19:00:00+03:30,3786.57,3789.49,3778.02,3783.16,NaN
2022-10-04T19:30:00+03:30,3783.17,3788.71,3779.88,3786.06,NaN
2022-10-04T20:00:00+03:30,3786.08,3788.45,3772.08,3775.37,NaN
2022-10-04T20:30:00+03:30,3775.14,3776.06,3754.4,3766.31,NaN
2022-10-04T21:00:00+03:30,3766.61,3779.77,3764.72,3776.11,NaN
2022-10-04T21:30:00+03:30,3776.1,3779.32,3769.19,3769.34,NaN
2022-10-04T22:00:00+03:30,3769.3,3786.8,3768.47,3784.03,NaN
2022-10-04T22:30:00+03:30,3784,3784.88,3768.39,3779.02,NaN
2022-10-04T23:00:00+03:30,3778.91,3791.87,3774.27,3790.5,NaN
2022-10-04T23:30:00+03:30,3791.92,3791.92,3790.93,3790.93,NaN
2022-10-05T17:00:00+03:30,3753.25,3763.62,3746.72,3755.39,NaN
2022-10-05T17:30:00+03:30,3755.63,3755.63,3727.34,3728.72,NaN
2022-10-05T18:00:00+03:30,3728.43,3735.05,3722.66,3725.8,NaN
2022-10-05T18:30:00+03:30,3725.9,3740.59,3725.14,3737.66,NaN
2022-10-05T19:00:00+03:30,3737.81,3746.36,3735.7,3743.2,NaN
2022-10-05T19:30:00+03:30,3743.5,3764.09,3735.83,3757.86,NaN
2022-10-05T20:00:00+03:30,3757.83,3771.91,3755.19,3765.36,NaN
2022-10-05T20:30:00+03:30,3765.4,3787.67,3764.67,3779.84,NaN
2022-10-05T21:00:00+03:30,3779.76,3782.68,3771.16,3771.55,NaN
2022-10-05T21:30:00+03:30,3771.48,3784.59,3770.17,3782.93,NaN
2022-10-05T22:00:00+03:30,3783.05,3789.91,3778.32,3789.42,NaN
2022-10-05T22:30:00+03:30,3789.46,3806.91,3789.46,3797.8,NaN
2022-10-05T23:00:00+03:30,3797.83,3801.15,3777.75,3783.39,NaN
2022-10-05T23:30:00+03:30,3783.51,3784.04,3783.28,3783.28,NaN
2022-10-06T17:00:00+03:30,3771.97,3797.93,3767.56,3773.88,NaN
2022-10-06T17:30:00+03:30,3773.89,3773.89,3748.53,3748.74,NaN
2022-10-06T18:00:00+03:30,3748.64,3776.08,3746.58,3775.84,NaN
2022-10-06T18:30:00+03:30,3775.81,3779.44,3761.49,3776.12,NaN
2022-10-06T19:00:00+03:30,3776.33,3779.92,3758.26,3759.27,NaN
2022-10-06T19:30:00+03:30,3759.19,3764.85,3751.85,3764.36,NaN
2022-10-06T20:00:00+03:30,3764.41,3774.26,3759.77,3766.53,NaN
2022-10-06T20:30:00+03:30,3766.51,3770.95,3759.41,3769.55,NaN
2022-10-06T21:00:00+03:30,3769.53,3769.53,3759.26,3765.97,NaN
2022-10-06T21:30:00+03:30,3766.11,3766.11,3752.48,3755.66,NaN
2022-10-06T22:00:00+03:30,3755.69,3760.58,3739.59,3746.19,NaN
2022-10-06T22:30:00+03:30,3746.26,3755.82,3739.22,3755.82,NaN
2022-10-06T23:00:00+03:30,3755.88,3757.03,3741.22,3744.6,NaN
2022-10-06T23:30:00+03:30,3744.28,3744.52,3744.28,3744.52,NaN
2022-10-07T17:00:00+03:30,3706.74,3706.74,3665.3,3667.11,NaN
2022-10-07T17:30:00+03:30,3667.18,3679.87,3659.41,3673.29,NaN
2022-10-07T18:00:00+03:30,3673.25,3681.9,3667.15,3675.59,NaN
2022-10-07T18:30:00+03:30,3675.53,3681.66,3662.74,3669.43,NaN
2022-10-07T19:00:00+03:30,3669.48,3671.98,3660.28,3664.12,NaN
2022-10-07T19:30:00+03:30,3664.15,3669.03,3653.62,3654.14,NaN
2022-10-07T20:00:00+03:30,3654.39,3654.39,3646.01,3649.33,NaN
2022-10-07T20:30:00+03:30,3649.29,3652.88,3642.51,3649.84,NaN
2022-10-07T21:00:00+03:30,3649.77,3654.17,3644.11,3645.75,NaN
2022-10-07T21:30:00+03:30,3645.52,3648.76,3637.86,3638.12,NaN
2022-10-07T22:00:00+03:30,3638.11,3641.56,3634.27,3638.83,NaN
2022-10-07T22:30:00+03:30,3638.81,3645.8,3624.37,3626.81,NaN
2022-10-07T23:00:00+03:30,3626.97,3643.24,3620.73,3640.38,NaN
2022-10-07T23:30:00+03:30,3639.88,3640.14,3639.62,3639.66,NaN
2022-10-10T17:00:00+03:30,3647.51,3652.17,3626.62,3626.81,NaN
2022-10-10T17:30:00+03:30,3627.13,3640.04,3621.23,3636.45,NaN
2022-10-10T18:00:00+03:30,3636.18,3639.67,3607.63,3613.05,NaN
2022-10-10T18:30:00+03:30,3612.91,3621.07,3604.55,3614.66,NaN
2022-10-10T19:00:00+03:30,3614.67,3624.75,3609.2,3619.36,NaN
2022-10-10T19:30:00+03:30,3619.37,3620.56,3600.33,3601.47,NaN
2022-10-10T20:00:00+03:30,3601.45,3604.04,3594.73,3594.74,NaN
2022-10-10T20:30:00+03:30,3594.75,3601.85,3588.1,3600.93,NaN
2022-10-10T21:00:00+03:30,3600.91,3633.91,3600.4,3626.3,NaN
2022-10-10T21:30:00+03:30,3626.28,3627.14,3610.86,3616.79,NaN
2022-10-10T22:00:00+03:30,3616.97,3627.86,3614,3616.81,NaN
2022-10-10T22:30:00+03:30,3616.82,3630.35,3612.31,3618.76,NaN
2022-10-10T23:00:00+03:30,3618.83,3627.75,3612.05,3612.05,NaN
2022-10-10T23:30:00+03:30,3611.93,3612.44,3611.93,3612.39,NaN
2022-10-11T17:00:00+03:30,3595.86,3598.15,3575.94,3576.4,NaN
2022-10-11T17:30:00+03:30,3576.37,3584.46,3568.45,3578.53,NaN
2022-10-11T18:00:00+03:30,3578.15,3596.52,3573.68,3586.15,NaN
2022-10-11T18:30:00+03:30,3586.12,3605.83,3585.79,3603.71,NaN
2022-10-11T19:00:00+03:30,3603.98,3625.4,3603.4,3618.27,NaN
2022-10-11T19:30:00+03:30,3618.31,3627.57,3606.2,3623.51,NaN
2022-10-11T20:00:00+03:30,3623.53,3640.66,3623.37,3632.54,NaN
2022-10-11T20:30:00+03:30,3632.56,3634.51,3622.9,3624.84,NaN
2022-10-11T21:00:00+03:30,3624.89,3631.98,3620.29,3629.9,NaN
2022-10-11T21:30:00+03:30,3629.89,3631.67,3616.28,3623.62,NaN
2022-10-11T22:00:00+03:30,3623.72,3628.51,3583.36,3584.33,NaN
2022-10-11T22:30:00+03:30,3583.62,3586.3,3568.66,3581.65,NaN
2022-10-11T23:00:00+03:30,3581.66,3592.84,3575.72,3589.16,NaN
2022-10-11T23:30:00+03:30,3588.58,3588.85,3588.51,3588.84,NaN
2022-10-12T17:00:00+03:30,3590.83,3607.69,3573.86,3599.21,NaN
2022-10-12T17:30:00+03:30,3599.24,3604.74,3581.65,3594.71,NaN
2022-10-12T18:00:00+03:30,3594.73,3601.62,3582.22,3589.72,NaN
2022-10-12T18:30:00+03:30,3589.4,3602.43,3588.6,3598.09,NaN
2022-10-12T19:00:00+03:30,3598,3604.87,3592.66,3603.03,NaN
2022-10-12T19:30:00+03:30,3602.95,3608.34,3591.84,3593.14,NaN
2022-10-12T20:00:00+03:30,3593.06,3597.79,3587.42,3596.92,NaN
2022-10-12T20:30:00+03:30,3596.95,3598.91,3590.62,3593.89,NaN
2022-10-12T21:00:00+03:30,3593.91,3594.25,3584.7,3587.47,NaN
2022-10-12T21:30:00+03:30,3587.46,3602.99,3583.27,3601.78,NaN
2022-10-12T22:00:00+03:30,3601.72,3604.34,3586.04,3587.69,NaN
2022-10-12T22:30:00+03:30,3587.72,3592.48,3582.89,3587.15,NaN
2022-10-12T23:00:00+03:30,3587.12,3593.57,3576.37,3576.9,NaN
2022-10-12T23:30:00+03:30,3576.57,3577.04,3576.57,3577.03,NaN
2022-10-13T17:00:00+03:30,3520.37,3535.15,3491.58,3529.15,NaN
2022-10-13T17:30:00+03:30,3529.16,3550.97,3524.96,3530.91,NaN
2022-10-13T18:00:00+03:30,3530.4,3556.88,3528.71,3546.61,NaN
2022-10-13T18:30:00+03:30,3546.57,3635.23,3544.41,3612.88,NaN
2022-10-13T19:00:00+03:30,3613.02,3662.51,3609.36,3638.24,NaN
2022-10-13T19:30:00+03:30,3638.26,3650.17,3620.24,3624.22,NaN
2022-10-13T20:00:00+03:30,3624.02,3646.64,3622.35,3640,NaN
2022-10-13T20:30:00+03:30,3640.16,3667.29,3640.1,3663.36,NaN
2022-10-13T21:00:00+03:30,3663.44,3675.08,3659.67,3665.78,NaN
2022-10-13T21:30:00+03:30,3665.74,3666.81,3650.71,3651.43,NaN
2022-10-13T22:00:00+03:30,3651.41,3681.48,3651.41,3678.62,NaN
2022-10-13T22:30:00+03:30,3678.7,3685.41,3671.04,3671.96,NaN
2022-10-13T23:00:00+03:30,3671.82,3681.36,3661.28,3669.48,NaN
2022-10-13T23:30:00+03:30,3669.58,3669.91,3669.58,3669.91,NaN
2022-10-14T17:00:00+03:30,3690.41,3712,3671.35,3677.16,NaN
2022-10-14T17:30:00+03:30,3676.88,3676.88,3617.36,3630.13,NaN
2022-10-14T18:00:00+03:30,3630.12,3637.31,3614.27,3630.85,NaN
2022-10-14T18:30:00+03:30,3630.9,3645,3617.83,3632.11,NaN
2022-10-14T19:00:00+03:30,3632.17,3632.21,3604.65,3608.11,NaN
2022-10-14T19:30:00+03:30,3608.01,3619.85,3595.35,3606.91,NaN
2022-10-14T20:00:00+03:30,3606.9,3617.44,3602.12,3603.51,NaN
2022-10-14T20:30:00+03:30,3603.49,3611.72,3595.97,3604.57,NaN
2022-10-14T21:00:00+03:30,3604.41,3611.29,3602.69,3611.18,NaN
2022-10-14T21:30:00+03:30,3611.25,3611.25,3588.88,3594.01,NaN
2022-10-14T22:00:00+03:30,3593.99,3594.95,3586.29,3594.45,NaN
2022-10-14T22:30:00+03:30,3594.46,3603.19,3584.58,3597.28,NaN
2022-10-14T23:00:00+03:30,3597.27,3603.99,3579.68,3585.73,NaN
